*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=19:31:12
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;62.611;-21.8313;0;Bottom;Copper Fill174
2;;;30.4165;-39.9796;0;Bottom;Copper Fill58
3;;;35.4965;-23.5966;0;Bottom;Copper Fill72
4;;;33.4264;-15.4813;0;Bottom;Copper Fill193
5;;;90.1954;-1.7018;0;Bottom;Copper Fill50
6;;;67.314;-12.8754;0;Bottom;Via22
7;;;18.9865;-29.9466;0;Bottom;Copper Fill86
8;;;10.0584;-24.7396;0;Bottom;Copper Fill108
9;;THT;58.6507;-8.55593;90;Bottom;J25
10;100;0603 [SMD];41.3196;-14.9954;-90;Top;R40
11;;;95.25;-37.0078;0;Bottom;Copper Fill14
12;;;2.6162;-48.5013;0;Bottom;Copper Fill156
13;0.01µF;0603 [SMD, multilayer];41.3241;-18.8003;90;Top;C55
14;;;95.25;-44.6278;0;Bottom;Copper Fill94
15;;;44.454;-26.8454;0;Bottom;Via9
16;;;30.484;-17.9554;0;Bottom;Via5
17;;;44.2722;-19.6977;0;Bottom;Copper Fill161
18;;;3.7973;-49.657;0;Bottom;Copper Fill59
19;;;95.25;-47.1678;0;Bottom;Copper Fill6
20;;;45.3644;-24.3586;0;Bottom;Copper Fill110
21;;;35.9918;-23.1013;0;Bottom;Copper Fill73
22;;;90.1954;-1.7018;0;Bottom;Copper Fill144
23;0.1µF;0603 [SMD, multilayer];27.9417;-22.6179;-90;Top;C51
24;;;89.7382;-21.1201;0;Bottom;Copper Fill68
25;;;95.25;-49.7078;0;Bottom;Copper Fill5
26;;;88.8365;-20.2438;0;Bottom;Copper Fill67
27;1M;0603 [SMD];62.2342;-14.5654;90;Top;R44
28;;;53.3146;-24.8793;0;Bottom;Copper Fill85
29;;;59.7154;-1.7018;0;Bottom;Copper Fill40
30;;;95.25;-31.9278;0;Bottom;Copper Fill101
31;;;52.0954;-1.7018;0;Bottom;Copper Fill37
32;;;69.0184;-35.9894;0;Bottom;TXT8
33;;;35.3581;-33.0753;0;Bottom;IMG1
34;;;72.394;-16.6854;0;Bottom;Via15
35;;;32.4612;-12.9413;0;Bottom;Copper Fill201
36;;;85.1154;-1.7018;0;Bottom;Copper Fill48
37;;;33.024;-12.8754;0;Bottom;Via24
38;;THT;6.1871;-49.4514;-90;Bottom;J2
39;;;74.9554;-1.7018;0;Bottom;Copper Fill138
40;;;28.321;-19.6977;0;Bottom;Copper Fill160
41;1M;0603 [SMD];27.9442;-14.9897;90;Top;R38
42;;;32.9565;-39.9796;0;Bottom;Copper Fill65
43;;;54.614;-16.6854;0;Bottom;Via10
44;;;3.3274;-25.5905;0;Bottom;Copper Fill182
45;;;87.9348;-35.1409;0;Bottom;Copper Fill180
46;;;95.25;-21.7678;0;Bottom;Copper Fill20
47;;;87.9348;-42.1513;0;Bottom;Copper Fill191
48;0.1µF;0603 [SMD, multilayer];62.2342;-22.6154;-90;Top;C61
49;;;52.8193;-24.384;0;Bottom;Copper Fill84
50;;THT;30.4841;-43.3554;0;Bottom;J21
51;;;43.1165;-1.9304;0;Bottom;Copper Fill55
52;;;67.3354;-1.7018;0;Bottom;Copper Fill43
53;;;70.048;-38.9612;0;Bottom;TXT7
54;;;30.988;-48.4886;0;Bottom;Copper Fill1
55;;;95.25;-19.2278;0;Bottom;Copper Fill119
56;100;0603 [SMD];5.08394;-14.9954;-90;Top;R29
57;;;29.5402;-40.8813;0;Bottom;Copper Fill158
58;;;35.564;-23.0354;0;Bottom;Via27
59;;;92.0242;-42.3672;0;Bottom;Copper Fill10
60;;;95.25;-14.1478;0;Bottom;Copper Fill121
61;;;52.324;-24.8793;0;Bottom;Copper Fill212
62;;;12.704;-17.9554;0;Bottom;Via1
63;;THT;71.3371;-45.1334;-90;Bottom;J1
64;;;89.7382;-28.1305;0;Bottom;Copper Fill179
65;;;87.6554;-1.7018;0;Bottom;Copper Fill143
66;;;64.4017;-45.593;0;Bottom;Copper Fill61
67;10µF;A 3216 [SMD, tantalum];15.244;-16.8154;90;Top;C29
68;;;32.4612;-12.9413;0;Bottom;Copper Fill78
69;1M;0603 [SMD];10.1642;-15.0109;90;Top;R35
70;;;17.9324;-26.6954;0;Bottom;Copper Fill103
71;;;73.152;-25.5905;0;Bottom;Copper Fill188
72;;;64.4017;-45.593;0;Bottom;Copper Fill165
73;;;95.25;-9.0678;0;Bottom;Copper Fill123
74;;;80.391;-21.8313;0;Bottom;Copper Fill175
75;;;15.2273;-12.446;0;Bottom;Copper Fill75
76;;;38.8874;-20.4978;0;Bottom;Copper Fill116
77;;;44.2468;-21.8313;0;Bottom;Copper Fill173
78;;THT;33.0241;-43.3554;0;Bottom;J20
79;;;32.9565;-12.446;0;Bottom;Copper Fill77
80;;;95.25;-34.4678;0;Bottom;Copper Fill100
81;;;49.4665;-12.446;0;Bottom;Copper Fill203
82;;;40.5765;-3.6322;0;Bottom;Copper Fill152
83;0.1µF;0603 [SMD, multilayer];80.001;-22.6286;-90;Top;C66
84;;;33.4518;-12.9413;0;Bottom;Copper Fill202
