*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=extruder control 4
*Date=15:57:29
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;100;0603 [SMD];25.4041;-14.9954;-90;Top;R37
2;;;50.8;-26.797;0;Bottom;Copper Fill23
3;;;67.2465;-12.446;0;Bottom;Copper Fill207
4;;;18.4912;-29.4513;0;Bottom;Copper Fill87
5;;;95.25;-39.5478;0;Bottom;Copper Fill13
6;;;41.9354;-1.7018;0;Bottom;Copper Fill129
7;;;32.9565;-39.9796;0;Bottom;Copper Fill169
8;;;35.4965;-39.9796;0;Bottom;Copper Fill168
9;;;82.5754;-1.7018;0;Bottom;Copper Fill47
10;0.01µF;0603 [SMD, multilayer];62.2342;-18.3754;-90;Top;C58
11;;;69.977;-26.7208;0;Bottom;Copper Fill106
12;;;60.9934;-33.0657;0;Bottom;TXT9
13;;;67.7164;-15.4813;0;Bottom;Copper Fill195
14;;;92.0242;-42.3672;0;Bottom;Copper Fill10
15;;;71.5518;-23.1013;0;Bottom;Copper Fill70
16;100;0603 [SMD];38.7939;-14.9954;-90;Top;R39
17;;;95.25;-9.0678;0;Bottom;Copper Fill26
18;;;10.5664;-19.6977;0;Bottom;Copper Fill159
19;0.01µF;0603 [SMD, multilayer];77.4741;-18.3754;90;Top;C65
20;;;97.5614;-42.0878;0;Bottom;Copper Fill97
21;0.01µF;0603 [SMD, multilayer];41.324;-18.8003;90;Top;C55
22;;;32.9565;-12.446;0;Bottom;Copper Fill77
23;;;30.4165;-39.9796;0;Bottom;Copper Fill58
24;;THT;38.1041;-43.3554;0;Bottom;J22
25;;;45.7241;-17.9554;0;Bottom;Via8
26;0.1µF;0603 [SMD, multilayer];14.3941;-38.2754;-180;Top;C47
27;;;87.6554;-1.7018;0;Bottom;Copper Fill143
28;;;21.971;-24.9809;0;Bottom;Copper Fill185
29;;THT;73.8473;-45.1334;-90;Bottom;J1
30;;;97.5614;-42.0878;0;Bottom;Copper Fill12
31;;THT;30.4841;-43.3554;0;Bottom;J21
32;1µF;0603 [SMD, multilayer];57.1541;-18.3754;90;Top;C59
33;;;95.25;-9.0678;0;Bottom;Copper Fill123
34;;;66.9417;-45.593;0;Bottom;Copper Fill165
35;;;15.2273;-13.4366;0;Bottom;Copper Fill74
36;;;44.2468;-21.8313;0;Bottom;Copper Fill173
37;;;3.3274;-25.5905;0;Bottom;Copper Fill182
38;;;67.3354;-1.7018;0;Bottom;Copper Fill43
39;;;97.5614;-44.6278;0;Bottom;Copper Fill95
40;;;26.3525;-50.165;0;Bottom;Copper Fill153
41;;;32.9565;-39.9796;0;Bottom;Copper Fill65
42;;;62.611;-19.2913;0;Bottom;Copper Fill162
43;;;29.2141;-26.8454;0;Bottom;Via6
44;;;38.608;-48.4886;0;Bottom;Copper Fill4
45;;;43.1165;-1.9304;0;Bottom;Copper Fill56
46;;;41.9354;-1.7018;0;Bottom;Copper Fill35
47;100;0603 [SMD];57.1541;-14.56;-90;Top;R42
48;;;80.391;-21.8313;0;Bottom;Copper Fill175
49;;;95.25;-44.6278;0;Bottom;Copper Fill94
50;;;18.9865;-32.8168;0;Bottom;Copper Fill210
51;;;19.7612;-31.9913;0;Bottom;Copper Fill211
52;;;35.4965;-39.9796;0;Bottom;Copper Fill64
53;;;16.4973;-41.2496;0;Bottom;Copper Fill69
